,0,1,2,3,4,5
x,646,1225,1459,1537,1612,1657
y,2749,1898,1524,1339,1233,1146
与前一列的欧氏距离,,1029.854,441.171,200.771,129.849,97.948
,,,,,,
,,,,,,
,0,1,2,3,4,5
x,4141,3291,2931,2726,2591,2480
y,2675,1865,1504,1339,1220,1138
与前一列的欧氏距离,,1174.137,509.116,263.153,128.374,138.003
