,0,1,2,3,4,5
h,279,1222,1600,1739,1856,1943
l,2815,1935,1578,1409,1303,1224
,,1289.825182,519.9355729,218.8195604,157.876534,117.5159564
,,,,,,
,,,,,,
,6,7,8,9,10,11
,4144,3438,3135,2973,2861,2771
,2942,1948,1582,1385,1298,1220
,,1219.20958,475.1473456,255.0548961,141.8203088,119.0965994
