,0,1,2,3,4,5
h,239,428,526,558,581,600
l,1134,804,658,575,536,499
,,380.2906783,175.8408371,88.95504483,45.27692569,41.59326869
,,,,,,
,,,,,,
,6,7,8,9,10,11
,1422,1164,1009,937,873,818
,1076,769,636,568,527,496
,,401.0149623,204.2400548,99.03534723,76.00657866,63.13477647
