,0,1,2,3,4,5,6,7,8,9,10,11
h,652,1210,1474,1555,1603,1660,4138,3312,2931,2723,2591,2483
l,2810,1915,1541,1348,1237,1150,2720,1874,1500,1319,1208,1146
